1	16 
2	11 
3	18 
4	20 
5	15 
6	2 
7	18 
8	10 
9	2 
10	11 
11	8 
12	2 
13	8 
14	11 
15	1 
16	2 
17	8 
18	2 
19	18 
20	10 
21	9 
22	8 
23	13 
24	8 
25	9 
26	21 
27	9 
28	5 
29	5 
30	22 
31	24 
32	12 
33	9 
34	18 
35	9 
36	12 23 
37	5 
38	22 
39	10 
40	14 
41	9 
42	1 2 
43	16 
44	1 13 
45	8 
46	8 
47	11 
48	7 
49	22 
50	23 
51	22 
52	7 
53	23 
54	22 
55	12 
56	16 
57	13 
58	5 
59	16 
60	11 
61	19 
62	8 
63	12 
64	9 
65	20 
66	8 
67	10 
68	17 19 
69	23 
70	2 
71	2 
72	10 
73	21 
74	5 
75	8 
76	22 
77	23 
78	14 
79	2 
80	5 16 
81	8 
82	3 
83	23 
84	17 
85	3 
86	19 
87	2 
88	15 
89	20 
90	10 
91	24 
92	8 
93	16 
94	18 
95	3 11 
96	16 
97	7 
98	24 
99	10 23 
100	20 
101	14 
102	8 
103	23 
104	19 
105	3 
106	8 
107	12 
108	19 
109	19 
110	3 
111	18 
112	20 
113	20 
114	18 
115	20 
116	19 
117	6 
118	20 
119	23 
120	18 
121	18 
122	20 
123	11 
124	20 
125	14 
126	1 
127	14 
128	2 
129	16 
130	5 
131	21 
132	4 
133	16 
134	8 
135	21 
136	21 
137	21 
138	21 
139	22 
140	8 
141	12 
142	8 
143	21 
144	23 
145	8 
146	10 
147	20 
148	3 
149	19 
150	14 
151	8 
152	17 
153	2 
154	4 12 
155	23 
156	21 
157	23 
158	6 
159	16 
160	6 
161	22 
162	16 
163	13 
164	24 
165	11 
166	21 
167	16 
168	6 
169	17 
170	20 
171	24 
172	22 
173	10 
174	3 
175	13 
176	22 
177	9 
178	14 
179	16 
180	10 
181	18 
182	22 
183	1 
184	3 
185	6 16 
186	17 
187	2 
188	16 
189	2 
190	2 
191	23 
192	3 19 
193	2 
194	19 
195	2 
196	19 
197	14 
198	9 
199	20 
200	7 
201	18 
202	16 
203	22 
204	22 
205	20 
206	10 
207	23 
208	19 
209	16 
210	11 
211	18 
212	19 
213	22 
214	23 
215	20 
216	13 
217	12 
218	21 
219	24 
220	13 
221	15 
222	16 
223	19 
224	23 
225	23 
226	24 
227	11 
228	3 
229	9 
230	9 
231	14 
232	22 
233	1 
234	20 
235	20 
236	10 
237	3 
238	4 
239	16 
240	10 
241	22 
242	19 
243	21 
244	3 
245	20 
246	17 
247	22 
248	1 
249	4 
250	19 
251	20 
252	7 
253	12 
254	9 
255	4 
256	14 
257	15 
258	19 
259	7 
260	17 
261	24 
262	20 
263	1 
264	14 
265	22 
266	13 18 
267	10 
268	18 
269	17 
270	13 
271	22 
272	23 
273	22 
274	13 
275	14 
276	11 
277	1 
278	4 
279	1 
280	18 
281	19 
282	6 
283	14 
284	4 
285	23 
286	20 
287	3 
288	19 
289	18 
290	24 
291	24 
292	13 
293	4 
294	16 23 
295	23 
296	23 
297	13 
298	18 
299	1 
300	14 
301	24 
302	11 
303	6 
304	14 
305	12 
306	15 19 
307	18 
308	12 
309	7 
310	19 
311	14 
312	3 
313	9 
314	10 
315	5 17 
316	9 
317	3 
318	3 17 
319	21 
320	14 
321	4 
322	9 
323	9 
324	6 
